"";"sKNotes:notes";"item ### type";"item ### note";
"08d86c81-de4d-4dc5-b8b1-72f4da2a656e";;"Note sur les numéros d'identification ###  ### Note sur le statut juridique ### ";"Extrait du livre \"Jazz\" n° 83.116NON VU lors du récolement 15/06/2015 ###  ### Extrait du livre \"Jazz\" n° d'inventaire 83.116. ### ";"
"
"08dae095-8948-480e-9671-ad80f96474e8";;"Note sur l'exposition - 1967, Le Havre, Salon de l'U.H.A.P. ### ";"1967, Le Havre, Salon de l'U.H.A.P. ### ";"
"
"08ea1d76-d166-4301-b581-636bdaaf71b6";;"Note sur l'exposition - 1963, Le Havre, Musée-Maison de la ###  ### Note sur l'exposition - 1963, Paris, Louvre, Donations Dufy ###  ### Note sur l'exposition - 1964, Lille, Colmar, Chambéry ###  ### Note sur l'exposition - 1992, Morlaix, Musée des Jacobins ### ";"n° 65 du catalogue ###  ### n° 66 ###  ### n° 63 du catalogue ###  ### n° 67 du catalogue, reprod. en noir et blanc p. 48 ### ";"
"
"09015c9f-098b-4509-a373-c1cae7cf933f";"";;;"
"
"090e50c8-d888-4452-bebf-0d15973ab0a2";;"Note sur le multimedia ### ";"photo prise à la sous-prefecture le 28/04/2015 ### ";"
"
"094905f5-fc18-485a-850b-99a1e8403b9e";;"Note sur l'exposition - 1978, Le Havre, Musée des Beaux-Arts.... ###  ### Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux ###  ### Note sur l'exposition - 2008, Lausanne, Comme des bêtes. L'ours, le cochon ### ";"p. 46 du catalogue, ch. Animaux ###  ### n° 143 du catalogue, vignette en noir et blanc et reprod.en coul. ###  ### Repr. p. 162 ### ";"
"
"0952a073-492b-4746-87d5-9f4af4334e9a";;"Note sur l'exposition - 2011, Le Havre, Les Territoires du désir ### ";"Repr. p. 31 ### ";"
"
"097d6e90-c233-490b-97e4-f62c9773bc02";"";;;"
"
"09abb642-af45-45b0-8234-ebb06df0c227";;"Note sur le statut juridique ### ";"achat de la Ville ### ";"
"
"09bc3c55-4f72-4f34-8abf-cd774166927e";"";;;"
"
"09c0fd1b-6d65-47c6-ad61-1003993658f4";"";;;"
"
"09c10808-dbc3-4793-a292-d7e909f29035";"";;;"
"
"09c13852-dc09-44f8-a86c-c123a04abafd";;"Note sur les numéros d'identification ### ";"NON VU lors du récolement 15/06/2015 ### ";"
"
"09ddc43b-ad70-4265-90ef-bd2aa7e98ee4";"";;;"
"
"09e4ed37-dc6f-4bd9-8bd5-14ac144d7f25";;"Note sur l'exposition - 2009, Le Havre, Henri-Edmond Cross ### ";"n° 12 p. 47 repr. ### ";"
"
